team1,team2,favorite,spread,over_under,team1_score,team2_score,team1p1,p1min,p1pts,p1reb,p1ast,p1stl,p1blk,p1pf,p1to,p1oreb,p1dreb,p1fg,p1fg%,p1ft,p1ft%,p13pt,p13pt%,p1+/-,team1p2,p2min,p2pts,p2reb,p2ast,p2stl,p2blk,p2pf,p2to,p2oreb,p2dreb,p2fg,p2fg%,p2ft,p2ft%,p23pt,p23pt%,p2+/-,team1p3,p3min,p3pts,p3reb,p3ast,p3stl,p3blk,p3pf,p3to,p3oreb,p3dreb,p3fg,p3fg%,p3ft,p3ft%,p33pt,p33pt%,p3+/-,team1p4,p4min,p4pts,p4reb,p4ast,p4stl,p4blk,p4pf,p4to,p4oreb,p4dreb,p4fg,p4fg%,p4ft,p4ft%,p43pt,p43pt%,p4+/-,team1p5,p5min,p5pts,p5reb,p5ast,p5stl,p5blk,p5pf,p5to,p5oreb,p5dreb,p5fg,p5fg%,p5ft,p5ft%,p53pt,p53pt%,p5+/-,team1p6,p6min,p6pts,p6reb,p6ast,p6stl,p6blk,p6pf,p6to,p6oreb,p6dreb,p6fg,p6fg%,p6ft,p6ft%,p63pt,p63pt%,p6+/-,team1p7,p7min,p7pts,p7reb,p7ast,p7stl,p7blk,p7pf,p7to,p7oreb,p7dreb,p7fg,p7fg%,p7ft,p7ft%,p73pt,p73pt%,p7+/-,team1p8,p8min,p8pts,p8reb,p8ast,p8stl,p8blk,p8pf,p8to,p8oreb,p8dreb,p8fg,p8fg%,p8ft,p8ft%,p83pt,p83pt%,p8+/-,team1p9,p9min,p9pts,p9reb,p9ast,p9stl,p9blk,p9pf,p9to,p9oreb,p9dreb,p9fg,p9fg%,p9ft,p9ft%,p93pt,p93pt%,p9+/-,team1p10,p10min,p10pts,p10reb,p10ast,p10stl,p10blk,p10pf,p10to,p10oreb,p10dreb,p10fg,p10fg%,p10ft,p10ft%,p103pt,p103pt%,p10+/-,team1p11,p11min,p11pts,p11reb,p11ast,p11stl,p11blk,p11pf,p11to,p11oreb,p11dreb,p11fg,p11fg%,p11ft,p11ft%,p113pt,p113pt%,p11+/-,team1p12,p12min,p12pts,p12reb,p12ast,p12stl,p12blk,p12pf,p12to,p12oreb,p12dreb,p12fg,p12fg%,p12ft,p12ft%,p123pt,p123pt%,p12+/-,team1p13,p13min,p13pts,p13reb,p13ast,p13stl,p13blk,p13pf,p13to,p13oreb,p13dreb,p13fg,p13fg%,p13ft,p13ft%,p133pt,p133pt%,p13+/-,team1p14,p14min,p14pts,p14reb,p14ast,p14stl,p14blk,p14pf,p14to,p14oreb,p14dreb,p14fg,p14fg%,p14ft,p14ft%,p143pt,p143pt%,p14+/-,team2p1,p1min,p1pts,p1reb,p1ast,p1stl,p1blk,p1pf,p1to,p1oreb,p1dreb,p1fg,p1fg%,p1ft,p1ft%,p13pt,p13pt%,p1+/-,team2p2,p2min,p2pts,p2reb,p2ast,p2stl,p2blk,p2pf,p2to,p2oreb,p2dreb,p2fg,p2fg%,p2ft,p2ft%,p23pt,p23pt%,p2+/-,team2p3,p3min,p3pts,p3reb,p3ast,p3stl,p3blk,p3pf,p3to,p3oreb,p3dreb,p3fg,p3fg%,p3ft,p3ft%,p33pt,p33pt%,p3+/-,team2p4,p4min,p4pts,p4reb,p4ast,p4stl,p4blk,p4pf,p4to,p4oreb,p4dreb,p4fg,p4fg%,p4ft,p4ft%,p43pt,p43pt%,p4+/-,team2p5,p5min,p5pts,p5reb,p5ast,p5stl,p5blk,p5pf,p5to,p5oreb,p5dreb,p5fg,p5fg%,p5ft,p5ft%,p53pt,p53pt%,p5+/-,team2p6,p6min,p6pts,p6reb,p6ast,p6stl,p6blk,p6pf,p6to,p6oreb,p6dreb,p6fg,p6fg%,p6ft,p6ft%,p63pt,p63pt%,p6+/-,team2p7,p7min,p7pts,p7reb,p7ast,p7stl,p7blk,p7pf,p7to,p7oreb,p7dreb,p7fg,p7fg%,p7ft,p7ft%,p73pt,p73pt%,p7+/-,team2p8,p8min,p8pts,p8reb,p8ast,p8stl,p8blk,p8pf,p8to,p8oreb,p8dreb,p8fg,p8fg%,p8ft,p8ft%,p83pt,p83pt%,p8+/-,team2p9,p9min,p9pts,p9reb,p9ast,p9stl,p9blk,p9pf,p9to,p9oreb,p9dreb,p9fg,p9fg%,p9ft,p9ft%,p93pt,p93pt%,p9+/-,team2p10,p10min,p10pts,p10reb,p10ast,p10stl,p10blk,p10pf,p10to,p10oreb,p10dreb,p10fg,p10fg%,p10ft,p10ft%,p103pt,p103pt%,p10+/-,team2p11,p11min,p11pts,p11reb,p11ast,p11stl,p11blk,p11pf,p11to,p11oreb,p11dreb,p11fg,p11fg%,p11ft,p11ft%,p113pt,p113pt%,p11+/-,team2p12,p12min,p12pts,p12reb,p12ast,p12stl,p12blk,p12pf,p12to,p12oreb,p12dreb,p12fg,p12fg%,p12ft,p12ft%,p123pt,p123pt%,p12+/-,team2p13,p13min,p13pts,p13reb,p13ast,p13stl,p13blk,p13pf,p13to,p13oreb,p13dreb,p13fg,p13fg%,p13ft,p13ft%,p133pt,p133pt%,p13+/-,team2p14,p14min,p14pts,p14reb,p14ast,p14stl,p14blk,p14pf,p14to,p14oreb,p14dreb,p14fg,p14fg%,p14ft,p14ft%,p143pt,p143pt%,p14+/-
MIA,DET,MIA,-3.0,212.0,120,107,P. Achiuwa (F),41,23,10,0,2,1,3,2,3,7,10/16,.625,3/7,.429,0/0,-,6,Nemanja Bjelica (F),37,21,6,6,2,1,3,2,2,4,8/13,.615,1/2,.500,4/6,.667,13,Tyler Herro (G),35,16,6,11,0,0,3,1,0,6,7/13,.538,1/2,.500,1/5,.200,21,Gabe Vincent (G),36,15,6,10,2,0,3,3,0,6,6/12,.500,0/0,-,3/7,.429,3,Duncan Robinson (F),19,8,2,1,2,1,2,0,0,2,3/5,.600,0/0,-,2/4,.500,9,Max Strus (G-F),35,20,4,2,1,0,1,0,0,4,7/16,.438,3/4,.750,3/11,.273,4,KZ Okpala (F-G),33,17,5,2,2,2,4,2,1,4,6/9,.667,5/5,1.000,0/1,.000,9,Omer Yurtseven (C),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Trevor Ariza (F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Jimmy Butler (F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Goran Dragic (G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Victor Oladipo (G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Kendrick Nunn (G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Bam Adebayo (C-F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Jahlil Okafor (C-F),24,7,5,0,0,1,3,1,1,4,3/5,.600,1/1,1.000,0/0,-,-8,Cory Joseph (G),30,14,4,5,1,1,2,2,1,3,6/14,.429,0/0,-,2/4,.500,-8,Killian Hayes (G),30,10,0,4,1,0,5,3,0,0,3/7,.429,2/2,1.000,2/5,.400,-9,Saddiq Bey (F),36,22,5,4,1,1,2,2,1,4,7/21,.333,4/5,.800,4/15,.267,-14,Hamidou Diallo (G),30,15,5,2,0,0,4,4,1,4,4/8,.500,6/9,.667,1/3,.333,-13,Tyler Cook (F),35,12,9,1,0,0,1,0,2,7,6/8,.750,0/0,-,0/0,-,-4,Saben Lee (G),27,10,2,7,0,1,1,2,0,2,5/8,.625,0/0,-,0/1,.000,0,Josh Jackson (G-F),24,17,3,3,1,0,3,2,1,2,6/15,.400,3/5,.600,2/7,.286,-9,Mason Plumlee (F-C),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Dennis Smith (G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Frank Jackson (G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Rodney McGruder (G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Sekou Doumbouya (F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,D. Sirvydis (F-G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0
DAL,MIN,DAL,-7.0,230.5,121,136,Dwight Powell (F-C),27,6,7,8,0,2,5,1,3,4,2/3,.667,2/2,1.000,0/0,-,-12,Luka Doncic (F-G),20,18,6,6,2,0,1,4,0,6,6/13,.462,4/5,.800,2/7,.286,-15,K. Porzingis (F-C),25,18,4,1,0,1,2,0,0,4,6/10,.600,2/2,1.000,4/5,.800,-14,D. Finney-Smith (F),28,15,4,1,0,0,1,3,1,3,6/9,.667,0/0,-,3/5,.600,-14,Tim Hardaway (G-F),24,15,0,4,0,1,1,1,0,0,5/7,.714,3/3,1.000,2/3,.667,-20,Jalen Brunson (G),26,15,0,3,1,0,2,2,0,0,6/12,.500,1/1,1.000,2/4,.500,0,Josh Richardson (G),22,11,5,4,0,0,1,2,2,3,5/14,.357,0/0,-,1/4,.250,-2,Josh Green (G),16,8,2,1,1,0,1,0,1,1,4/8,.500,0/1,.000,0/2,.000,2,Nicolo Melli (F),15,10,5,2,1,0,0,0,2,3,3/6,.500,2/2,1.000,2/5,.400,2,Trey Burke (G),10,2,1,1,0,0,0,0,0,1,1/4,.250,0/0,-,0/2,.000,1,W. Cauley-Stein (C),9,0,2,0,0,1,4,1,1,1,0/1,.000,0/0,-,0/0,-,0,Nate Hinton (G-F),4,0,0,0,0,0,1,0,0,0,0/2,.000,0/0,-,0/1,.000,-1,B. Marjanovic (C),4,3,0,1,0,0,0,1,0,0,0/0,-,3/4,.750,0/0,-,-1,Tyler Bey (F),4,0,2,0,0,0,0,1,1,1,0/2,.000,0/0,-,0/0,-,-1,K. Towns (C-F),31,23,9,5,2,0,6,1,2,7,6/12,.500,10/11,.909,1/4,.250,14,J. Vanderbilt (F),23,7,12,1,3,0,1,0,5,7,3/6,.500,1/2,.500,0/1,.000,9,D. Russell (G),35,23,3,10,3,0,0,2,0,3,8/19,.421,4/5,.800,3/9,.333,13,Jaden McDaniels (F),32,19,3,2,0,1,4,2,2,1,8/13,.615,0/0,-,3/7,.429,15,Anthony Edwards (G),38,30,0,4,0,2,1,1,0,0,10/21,.476,5/5,1.000,5/9,.556,9,Josh Okogie (G),20,6,2,1,2,1,2,1,1,1,2/4,.500,1/2,.500,1/3,.333,1,Ricky Rubio (G),20,2,3,7,0,0,1,1,0,3,1/3,.333,0/0,-,0/2,.000,8,Naz Reid (C-F),16,17,5,0,0,0,3,0,1,4,7/7,1.000,0/0,-,3/3,1.000,1,J. McLaughlin (G),10,7,0,3,1,0,1,0,0,0,3/3,1.000,0/0,-,1/1,1.000,-2,J. Hernangomez (F),10,2,1,2,0,0,3,1,0,1,1/2,.500,0/0,-,0/1,.000,7,Jarrett Culver (G-F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Malik Beasley (G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Jaylen Nowell (G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Jake Layman (F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0
UTA,SAC,UTA,-11.0,221.5,121,99,Rudy Gobert (C),27,13,16,1,0,2,1,0,4,12,6/8,.750,1/4,.250,0/1,.000,36,B. Bogdanovic (F),30,18,6,4,0,0,1,4,1,5,5/15,.333,6/6,1.000,2/5,.400,19,Joe Ingles (F-G),30,10,5,7,1,0,2,2,0,5,3/8,.375,2/2,1.000,2/6,.333,13,Royce O'Neale (F),28,9,2,2,0,1,2,2,0,2,3/7,.429,1/2,.500,2/6,.333,9,Mike Conley (G),21,11,6,9,3,0,2,1,1,5,4/10,.400,0/0,-,3/3,1.000,28,Jordan Clarkson (G),32,33,2,3,2,0,3,3,1,1,11/20,.550,5/5,1.000,6/12,.500,16,Georges Niang (F),19,10,1,1,0,0,1,0,0,1,3/7,.429,2/2,1.000,2/5,.400,10,Derrick Favors (F),17,10,9,0,1,0,1,1,1,8,5/6,.833,0/0,-,0/0,-,-8,Miye Oni (G-F),14,3,0,1,0,0,1,0,0,0,1/1,1.000,0/0,-,1/1,1.000,19,Trent Forrest (G),7,0,2,0,1,0,0,2,1,1,0/1,.000,0/0,-,0/0,-,-8,Matt Thomas (G),2,0,1,0,1,0,0,1,0,1,0/2,.000,0/0,-,0/0,-,-6,Udoka Azubuike (C-F),2,4,0,0,0,0,0,0,0,0,0/0,-,4/4,1.000,0/0,-,-6,Juwan Morgan (F),2,0,0,0,0,0,0,0,0,0,0/1,.000,0/0,-,0/0,-,-6,J. Brantley (F),2,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,-6,Damian Jones (C),35,19,5,1,1,1,4,3,1,4,9/13,.692,1/2,.500,0/2,.000,-13,Chimezie Metu (F-C),31,8,8,0,0,0,2,0,1,7,4/10,.400,0/0,-,0/2,.000,-11,Louis King (F),28,12,3,3,3,1,5,2,0,3,5/12,.417,0/0,-,2/3,.667,-15,Buddy Hield (G),30,13,7,9,1,0,0,1,1,6,5/12,.417,2/3,.667,1/7,.143,-16,Delon Wright (G),30,7,3,3,1,2,1,2,0,3,3/8,.375,0/0,-,1/5,.200,-14,Terence Davis (G),31,20,3,1,2,0,3,2,1,2,8/14,.571,2/2,1.000,2/5,.400,-30,Jahmi'us Ramsey (G),21,12,1,1,0,0,4,1,0,1,5/9,.556,1/1,1.000,1/3,.333,1,Kyle Guy (G),18,6,6,5,2,0,2,1,0,6,2/8,.250,0/2,.000,2/3,.667,-13,Robert Woodard (F),11,2,3,1,0,1,1,0,1,2,1/4,.250,0/0,-,0/0,-,1,De'Aaron Fox (G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,M. Harkless (F-G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Richaun Holmes (F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,T. Haliburton (G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,H. Whiteside (C),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0
LA,OKC,LAC,-8.0,220.5,112,117,Ivica Zubac (C),0,0,0,0,0,0,1,0,0,0,0/0,-,0/0,-,0/0,-,0,P. Patterson (F),42,10,6,4,1,0,0,0,3,3,4/11,.364,0/0,-,2/8,.250,-10,Reggie Jackson (G),6,6,0,0,0,0,0,0,0,0,2/5,.400,0/0,-,2/4,.500,-13,P. Beverley (G),18,11,0,4,0,1,1,0,0,0,5/8,.625,1/2,.500,0/2,.000,-1,Luke Kennard (G),29,13,3,1,3,0,2,0,0,3,6/14,.429,0/0,-,1/7,.143,-3,Daniel Oturu (C),37,13,12,2,2,1,3,2,7,5,5/21,.238,2/2,1.000,1/4,.250,-2,Jay Scrubb (G),36,14,7,1,1,0,2,1,2,5,7/17,.412,0/0,-,0/4,.000,-4,Yogi Ferrell (G),26,14,7,2,1,0,3,0,2,5,5/12,.417,2/2,1.000,2/6,.333,-7,Terance Mann (G-F),23,19,2,1,0,0,1,0,0,2,7/8,.875,4/5,.800,1/2,.500,16,Serge Ibaka (F),18,12,7,2,0,1,1,0,2,5,4/10,.400,3/4,.750,1/6,.167,-1,Amir Coffey (G-F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,D. Cousins (C),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Paul George (F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Marcus Morris (F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Moses Brown (C),37,24,18,3,0,7,0,0,8,10,12/19,.632,0/0,-,0/0,-,0,Josh Hall (F),42,25,10,2,0,0,5,3,1,9,11/21,.524,2/6,.333,1/6,.167,9,Theo Maledon (G),13,3,0,4,0,0,0,1,0,0,1/3,.333,0/0,-,1/3,.333,11,A. Pokusevski (C),40,29,8,2,0,0,1,7,0,8,10/19,.526,3/4,.750,6/9,.667,2,Isaiah Roby (F),12,10,5,0,0,0,1,0,0,5,5/8,.625,0/0,-,0/1,.000,8,Charlie Brown (G),31,7,3,2,0,1,2,1,2,1,2/10,.200,3/4,.750,0/4,.000,-8,Jaylen Hoard (F),29,5,2,3,1,2,1,2,1,1,2/5,.400,1/2,.500,0/2,.000,-7,Gabriel Deck (F),18,6,1,3,0,0,1,1,0,1,3/4,.750,0/0,-,0/1,.000,2,Tony Bradley (C-F),14,8,7,1,0,2,0,0,2,5,4/5,.800,0/0,-,0/0,-,8,Luguentz Dort (G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,S. Gilgeous-Alexander (G-F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Mike Muscala (F-C),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,K. Williams (G-F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Al Horford (C-F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0
PHX,SA,PHX,-2.0,221.0,123,121,Dario Saric (F-C),26,13,4,4,2,0,1,1,2,2,6/12,.500,0/0,-,1/3,.333,13,Jevon Carter (G),42,19,10,9,3,0,0,2,3,7,9/22,.409,0/0,-,1/6,.167,5,Jalen Smith (F-C),40,11,10,2,0,2,3,0,0,10,5/11,.455,0/0,-,1/4,.250,5,Mikal Bridges (F),5,7,1,1,0,0,1,0,0,1,3/3,1.000,0/0,-,1/1,1.000,8,Cameron Payne (G),27,19,4,6,1,0,1,2,0,4,7/14,.500,2/2,1.000,3/6,.500,11,Torrey Craig (F),29,11,6,4,1,1,5,0,2,4,5/11,.455,0/0,-,1/4,.250,8,L. Galloway (G),26,10,1,1,0,0,0,0,1,0,4/12,.333,0/0,-,2/8,.250,-21,Frank Kaminsky (F-C),20,11,10,7,0,1,2,1,1,9,5/9,.556,0/0,-,1/1,1.000,-10,E'Twaun Moore (G),20,22,2,2,0,1,0,2,1,1,9/10,.900,2/2,1.000,2/2,1.000,-9,Chris Paul (G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Devin Booker (G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Cameron Johnson (F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Deandre Ayton (C),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Jae Crowder (F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Jakob Poeltl (C),29,17,10,0,0,3,0,0,3,7,8/14,.571,1/3,.333,0/0,-,-7,DeMar DeRozan (G-F),25,23,3,4,0,0,1,2,1,2,8/14,.571,6/7,.857,1/1,1.000,-4,Keldon Johnson (F-G),21,9,4,4,1,0,1,1,1,3,4/8,.500,1/2,.500,0/2,.000,-4,Lonnie Walker (G-F),27,9,2,2,0,0,2,3,0,2,4/8,.500,0/0,-,1/5,.200,-8,Dejounte Murray (G),29,6,7,4,1,0,0,1,1,6,3/10,.300,0/0,-,0/2,.000,-7,Devin Vassell (G-F),26,5,2,2,0,1,1,2,0,2,2/9,.222,0/0,-,1/5,.200,7,Rudy Gay (F-G),19,12,6,3,1,1,0,0,0,6,4/9,.444,2/2,1.000,2/5,.400,-1,Tre Jones (G),18,9,0,7,1,0,1,0,0,0,3/5,.600,3/4,.750,0/1,.000,5,K. Bates-Diop (F),12,9,5,0,0,0,0,0,2,3,4/6,.667,1/1,1.000,0/0,-,2,Q. Weatherspoon (G),12,11,1,2,1,0,1,0,1,0,5/6,.833,0/0,-,1/1,1.000,2,Gorgui Dieng (C),9,7,3,2,0,0,1,0,1,2,3/5,.600,0/0,-,1/2,.500,-4,Drew Eubanks (F-C),8,4,3,0,0,0,0,1,1,2,2/4,.500,0/0,-,0/0,-,9,DaQuan Jeffries (G-F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Patty Mills (G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0
CHA,WSH,WSH,-7.0,229.0,110,115,P.J. Washington (F),30,11,9,4,2,1,4,2,1,8,4/10,.400,0/0,-,3/9,.333,2,Miles Bridges (F),39,17,4,0,0,4,2,3,1,3,6/18,.333,3/3,1.000,2/9,.222,-12,Jalen McDaniels (F-C),27,13,4,2,0,0,2,2,1,3,4/7,.571,4/4,1.000,1/4,.250,0,LaMelo Ball (G),33,19,7,5,2,0,1,1,2,5,7/21,.333,3/4,.750,2/8,.250,-2,Terry Rozier (G),37,22,9,9,3,0,2,1,2,7,8/19,.421,3/3,1.000,3/6,.500,13,Devonte' Graham (G),30,15,2,2,1,0,0,1,0,2,4/10,.400,4/4,1.000,3/8,.375,-6,Cody Zeller (F-C),29,11,4,2,0,0,4,1,2,2,3/6,.500,5/6,.833,0/0,-,-2,Malik Monk (G),5,0,1,1,0,0,0,0,0,1,0/2,.000,0/0,-,0/1,.000,-9,Bismack Biyombo (C),5,2,2,0,0,0,0,0,1,1,1/1,1.000,0/0,-,0/0,-,-9,Cody Martin (F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Gordon Hayward (F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Caleb Martin (F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Nick Richards (C),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Vernon Carey (F-C),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Alex Len (C),4,0,1,0,0,0,1,0,0,1,0/0,-,0/0,-,0/0,-,-5,R. Westbrook (G),40,23,15,10,1,0,4,3,3,12,6/15,.400,9/12,.750,2/8,.250,9,Rui Hachimura (F),34,16,6,0,1,0,2,0,0,6,7/12,.583,0/0,-,2/3,.667,-5,Davis Bertans (F),26,11,3,0,0,0,2,1,0,3,4/8,.500,0/0,-,3/7,.429,-6,Bradley Beal (G),34,25,6,4,1,0,4,3,1,5,8/27,.296,6/7,.857,3/11,.273,12,Ish Smith (G),32,14,8,7,0,1,0,1,1,7,7/11,.636,0/0,-,0/1,.000,15,Robin Lopez (C),26,18,6,1,1,0,2,2,4,2,9/11,.818,0/0,-,0/0,-,21,Daniel Gafford (F-C),16,8,5,0,0,1,4,3,1,4,3/6,.500,2/2,1.000,0/0,-,-13,C. Hutchison (F-G),9,0,0,0,0,0,0,0,0,0,0/1,.000,0/0,-,0/1,.000,-21,G. Mathews (G),7,0,1,0,0,1,1,0,0,1,0/0,-,0/0,-,0/0,-,14,Anthony Gill (F),6,0,2,0,0,0,0,1,0,2,0/0,-,0/0,-,0/0,-,4,Deni Avdija (F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Raul Neto (G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Thomas Bryant (C-F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0
BOS,NY,NYK,-12.0,211.0,92,96,Luke Kornet (F-C),26,4,3,0,0,3,1,1,0,3,2/7,.286,0/0,-,0/5,.000,9,Semi Ojeleye (F),16,5,2,1,0,0,1,1,0,2,2/6,.333,0/0,-,1/5,.200,-10,P. Pritchard (G),23,6,6,6,0,0,2,1,1,5,2/10,.200,0/0,-,2/8,.250,-24,Romeo Langford (G-F),34,14,4,1,1,0,4,2,1,3,5/11,.455,4/6,.667,0/1,.000,-1,Grant Williams (F),25,13,6,2,0,0,1,2,1,5,5/8,.625,1/1,1.000,2/2,1.000,-18,Jabari Parker (F),26,18,7,2,0,0,3,0,1,6,6/10,.600,5/6,.833,1/3,.333,8,Carsen Edwards (G),26,10,2,0,1,0,1,1,0,2,4/13,.308,0/0,-,2/8,.250,8,Tremont Waters (G),25,17,5,5,2,0,1,3,0,5,7/13,.538,0/0,-,3/8,.375,20,Aaron Nesmith (G-F),19,2,3,2,0,0,3,1,1,2,1/6,.167,0/0,-,0/1,.000,-6,Tacko Fall (C),16,3,8,0,0,3,2,0,4,4,1/2,.500,1/2,.500,0/0,-,-6,Marcus Smart (G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Kemba Walker (G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Robert Williams (C-F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,T. Thompson (C-F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Nerlens Noel (C-F),32,2,6,0,3,3,1,0,0,6,1/2,.500,0/0,-,0/0,-,0,Reggie Bullock (G-F),34,16,3,2,1,1,1,0,0,3,6/9,.667,0/0,-,4/7,.571,6,RJ Barrett (F-G),33,22,4,2,0,0,4,1,0,4,7/12,.583,6/8,.750,2/4,.500,5,Elfrid Payton (G),13,0,4,1,0,0,0,2,0,4,0/4,.000,0/0,-,0/0,-,2,Julius Randle (F-C),37,20,7,7,1,1,3,4,0,7,5/17,.294,8/10,.800,2/5,.400,-1,Alec Burks (G),25,17,6,0,1,0,3,2,1,5,6/10,.600,0/0,-,5/7,.714,1,Derrick Rose (G),23,7,5,2,0,0,1,1,2,3,3/9,.333,1/1,1.000,0/0,-,0,Taj Gibson (F),15,4,3,2,0,1,3,0,1,2,2/4,.500,0/0,-,0/0,-,3,I. Quickley (G),14,2,1,0,0,0,0,0,0,1,1/7,.143,0/0,-,0/3,.000,-1,Obi Toppin (F),10,6,2,0,0,0,0,0,0,2,3/5,.600,0/0,-,0/1,.000,5,Frank Ntilikina (G),0,0,0,0,1,0,1,0,0,0,0/0,-,0/0,-,0/0,-,0,Luca Vildoza (G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,M. Robinson (C-F),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0,Jared Harper (G),0,0,0,0,0,0,0,0,0,0,0/0,-,0/0,-,0/0,-,0
